exp_id,date,job_id,config,gpus,checkpoint,status
lvsm_03,2026-03-17,3077402,sp133k+rp2k_enfNbr_precomputePose_naiveqwen25_woLVSMnvs | lr=7e-6, adaptor_lr=2e-5, gating=False,4,/data/horse/ws/jixu233b-metadata_ws/exps/train/spatialmllm/20260317_223914_spatial-mllm-sft_4x4_hpc_naiveqwen25_enforceRealNbrAfter1step_precomputePose_fulldata,completed
lvsm_04,2026-03-17,3077400,sp133k+rp2k_enfNbr_precomputePose_LVSMnvs01_6view_AllTar_llm2lvsmPatchwise | lr=7e-6, adaptor_lr=2e-5, gating=False,4,/data/horse/ws/jixu233b-metadata_ws/exps/train/spatialmllm/20260317_141138_spatial-mllm-sft_4x4_hpc_LVSMnvs01_6view_AllTar_sft_llm2lvsmPatchwise_precomputePoseNbrafter1_fulldata,completed
OF_01,2026-03-20,local_c1_20260320_002716,spatial_mllm_mix_133k%1,route_plan_scannet_2k%1 | MODEL_TYPE=custom-spatial-mllm-lvsm | RUN_NAME_APPENDIX=_8sa_knowview_nvsloss_celoss_lre-4_decodefromllm_lvsm2llmfuseon_plukertoken_only_llm2lvsmfusionon_sameplukeronlycontext | note=plukeronly_lvsm2llm_fuse | lr=1e-5 | adaptor_lr=2e-5 | overfit=true:8,1,/data/horse/ws/jixu233b-metadata_ws/exps/train/spatialmllm/20260320_002509_spatial-mllm-sft_8sa_knowview_nvsloss_celoss_lre-4_decodefromllm_lvsm2llmfuseon_plukertoken_only_overfit20,submitted
OF_02,2026-03-20,3178996,spatial_mllm_mix_133k%1,route_plan_scannet_2k%1 | MODEL_TYPE=custom-spatial-mllm-lvsm | RUN_NAME_APPENDIX=_8sa_knowview_nvsloss_celoss_lre-4_decodefromllm_llm2lvsmfusionon_plukeronlycontext | note=三参: lvsm2llm关, pluker_only开, llm2lvsm融合开 | lr=1e-5 | adaptor_lr=2e-5 | overfit=true:8,1,/data/horse/ws/jixu233b-metadata_ws/exps/train/spatialmllm/20260320_075525_spatial-mllm-sft_8sa_knowview_nvsloss_celoss_lre-4_decodefromllm_llm2lvsmfusionon_plukeronlycontext_overfit20,running
OF_03,2026-03-20,3178995,spatial_mllm_mix_133k%1,route_plan_scannet_2k%1 | MODEL_TYPE=custom-spatial-mllm-lvsm | RUN_NAME_APPENDIX=_8sa_knowview_nvsloss_celoss_lre-4_decodefromllm_llm2lvsmfusionon_plukeronlycontext | note=三参: lvsm2llm开, pluker_only开, llm2lvsm融合关 | lr=1e-5 | adaptor_lr=2e-5 | overfit=true:8,1,/data/horse/ws/jixu233b-metadata_ws/exps/train/spatialmllm/20260320_075525_spatial-mllm-sft_8sa_knowview_nvsloss_celoss_lre-4_decodefromllm_llm2lvsmfusionon_plukeronlycontext_overfit20,running
